ID,Length,ATYPE,AB LINKCLASS,BA LINKCLASS,AM_AB_VHT,AM_BA_VHT,AM_AB_Spd,AM_BA_Spd,MD_AB_VHT,MD_BA_VHT,MD_AB_Spd,MD_BA_Spd,PM_AB_VHT,PM_BA_VHT,PM_AB_Spd,PM_BA_Spd,NT_AB_VHT,NT_BA_VHT,NT_AB_Spd,NT_BA_Spd
9058,0.194035,2,3,3,15.144185,30.886674,28.533231,13.684802,41.492898,73.636104,31.35532,16.814428,16.488357,42.284406,28.312016,12.142888,17.836402,26.996853,35.183109,20.635265
9059,0.136499,1,3,3,9.816848,16.104052,21.853043,11.987922,30.021318,53.967868,22.938397,12.660058,13.509441,19.748693,20.625115,11.449795,14.322647,27.838523,24.725189,14.4332
9061,0.046914,1,3,3,4.923103,2.059801,14.219956,23.477777,9.507992,7.084785,15.632347,23.863666,3.301781,4.79,15.240541,20.463536,1.888872,2.922484,16.167062,24.889762
9062,0.148519,1,3,3,7.642878,17.6912,20.035717,19.290929,26.127425,27.854597,20.383195,23.386679,17.899446,8.572669,17.31212,22.874487,10.831634,5.824896,21.241925,24.948101
9066,0.090497,1,4,4,20.130414,2.806263,6.700557,24.055756,28.855591,9.815923,9.924689,24.285586,10.967139,4.715756,8.871789,23.013801,5.190579,4.04031,11.379959,24.93038
9068,0.118606,1,4,4,5.669724,2.145435,14.558616,24.630704,14.919635,6.961796,15.000343,24.758044,9.776091,4.303707,13.55299,23.883591,5.687355,2.318163,15.295409,24.97752
9069,0.155035,1,4,4,5.092106,5.007577,14.182358,22.059464,15.948113,12.558073,14.420296,23.600602,10.520581,8.936241,12.880256,19.480593,5.111691,4.616899,14.722054,24.887424
9071,0.179756,2,4,4,3.213361,0.768,29.676336,20.702505,4.653956,3.873836,31.414095,20.675945,1.759514,2.804617,31.073104,20.109147,0.785262,1.634663,31.745009,20.748023
9072,0.178122,2,4,4,1.970912,4.801317,35.329681,21.612308,6.753999,10.290976,35.436462,22.115518,5.085643,5.899703,33.913233,21.381949,3.681327,3.531188,35.664092,22.287149
9075,0.095706,1,3,3,4.130529,20.411771,25.825329,13.850249,15.101392,27.262713,26.157416,19.319861,12.52276,9.697564,20.483064,18.099182,6.162271,5.694894,27.610794,21.354459
9076,0.164703,1,4,4,5.058775,1.460183,14.624978,13.918694,14.126127,14.354106,15.230747,13.297242,2.947135,9.099681,15.427336,10.949607,4.677996,7.556583,15.795117,13.96548
9081,0.205036,2,4,4,6.710551,10.788783,33.259924,17.406583,23.654044,33.980418,33.797431,18.439573,7.933124,11.334491,32.808459,17.440736,9.964813,15.585879,35.519841,20.216491
9082,0.109607,2,3,3,6.284086,5.447676,33.369506,26.457343,12.642762,17.544682,37.406912,27.287088,3.384634,13.355936,37.256597,21.513593,4.250527,7.587406,39.509622,28.794903
9083,0.327059,2,4,4,6.36955,13.653058,32.51857,17.332791,23.814213,38.673962,32.948785,19.743281,11.6706,15.804719,29.139429,16.716165,9.719424,15.753693,35.437693,23.860982
9086,0.207186,2,4,4,13.637276,5.274582,16.396067,34.075819,46.989314,18.306588,17.26703,34.484861,16.577418,5.997628,15.656587,33.872213,18.596756,9.663649,20.235732,35.533201
9091,0.21335,2,3,3,23.451483,29.285308,31.319742,18.040021,61.346432,114.276839,34.853354,18.358859,25.544558,51.622423,31.06488,14.747019,21.269333,49.411263,39.266242,22.637772
9092,0.196712,2,3,3,9.260037,18.571041,31.907753,16.763027,28.979837,58.999572,33.178462,18.025142,10.633233,27.25423,31.455314,14.917624,13.553491,25.658573,35.395841,20.789328
9093,0.266574,2,3,3,33.493893,77.429593,28.591771,14.284741,100.876903,162.07628,31.23257,19.420234,43.841153,79.07479,26.587678,14.551346,52.302276,60.130339,36.279658,26.044579
