model_id,model_name,r-squared,variable_name,Coefficient,StdError,t-Statistic,p
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Transit_Headways,-0.00266096075548889,0.0014076752122993042,-1.8903229468269622,0.0614720452957207
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Transit_Service_Expansion==Expansion,0.0011144869382107678,37508.3176718666,2.9713061192469777e-08,0.9999999763487859
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Transit_Service_Expansion==No Expansion,-0.0011144869382107591,37508.317671867,-2.9713061192469228e-08,0.9999999763487859
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,_Intercept_,0.630307429317093,,,
20,Percentage of Population within Quarter Mile,0.7076256877863975,AV_Rates,-0.00016603118763100565,0.0020388833180449597,-0.08143241261604381,0.93525309495059
20,Percentage of Population within Quarter Mile,0.7076256877863975,EV_Rates,-1.935481748996376e-05,0.0021179089840487066,-0.0091386445950874,0.9927258587848609
20,Percentage of Population within Quarter Mile,0.7076256877863975,Ecommerce,-0.007824399225716623,0.010330150162736168,-0.7574332514488985,0.4504867981188516
20,Percentage of Population within Quarter Mile,0.7076256877863975,HH_EMP_Distribution,0.026312105161711813,0.002044674302434741,12.86860461364438,0.0
20,Percentage of Population within Quarter Mile,0.7076256877863975,HH_EMP_Growth,-0.014333256656313803,0.0020751284979444056,-6.907165831182085,3.9262282314211916e-10
20,Percentage of Population within Quarter Mile,0.7076256877863975,Heavy_Medium_Truck_Travel,0.0015853034350049012,0.0020506291452568348,0.7730814899767491,0.4412110323482037
20,Percentage of Population within Quarter Mile,0.7076256877863975,Incentives_Special_AreaPop,-0.000268927697770044,0.004110047555941298,-0.06543177277384403,0.9479546444014988
20,Percentage of Population within Quarter Mile,0.7076256877863975,Road_User_Fee,-0.029216631314728306,0.020720033206521247,-1.410066819078886,0.16147534065307667
20,Percentage of Population within Quarter Mile,0.7076256877863975,Roadway_Capacity_Improvement==All,-0.000795261983194075,,,
20,Percentage of Population within Quarter Mile,0.7076256877863975,Roadway_Capacity_Improvement==High,-4.540776364328167e-05,,,
20,Percentage of Population within Quarter Mile,0.7076256877863975,Roadway_Capacity_Improvement==High and Medium,0.0008406697468373213,,,
20,Percentage of Population within Quarter Mile,0.7076256877863975,Teleworking,-0.0021671777234826854,0.006636455090993632,-0.3265565266046588,0.7446533549854537
20,Percentage of Population within Quarter Mile,0.7076256877863975,Transit_Headways,-0.0012081951391184373,0.0013602466259715984,-0.8882177070319482,0.37645385784177376
20,Percentage of Population within Quarter Mile,0.7076256877863975,Transit_Service_Expansion==Expansion,0.000823377798558415,36244.55564269699,2.271728219474859e-08,0.999999981917336
